,address,adm-fees,garage_places,price,rooms,square_foot,neighborhood,city,latitude,longitude,qde_lancamentos,vl_lancado,vl_medio_iptu
0,Rua Flor,300.0,1,495000.0,3,68,capitao eduardo,Belo Horizonte,-19.8339596,-43.8688074,15.0,476269.07,31751.27133333333
1,Rua Flor,500.0,2,530000.0,3,81,capitao eduardo,Belo Horizonte,-19.8339596,-43.8688074,15.0,476269.07,31751.27133333333
2,Rua Flor,,2-4,648154.0,3,75,capitao eduardo,Belo Horizonte,-19.8339596,-43.8688074,15.0,476269.07,31751.27133333333
3,Rua Flor,400.0,2,825000.0,3,178,capitao eduardo,Belo Horizonte,-19.8339596,-43.8688074,15.0,476269.07,31751.27133333333
4,Rua Flor,300.0,3,530000.0,4,126,capitao eduardo,Belo Horizonte,-19.8339596,-43.8688074,15.0,476269.07,31751.27133333333
5,Rua Flor,351.0,1,410000.0,3,80,capitao eduardo,Belo Horizonte,-19.8339596,-43.8688074,15.0,476269.07,31751.27133333333
6,Rua Alberto Nepomuceno ,,2,385000.0,2,78,havai, Belo Horizonte ,-19.9656282,-43.9751672,5055.0,7561593.1,1495.8641147378833
7,Rua Geórgia ,350.0,1,260000.0,3,84,havai, Belo Horizonte ,-19.9657034,-43.9678015,5055.0,7561593.1,1495.8641147378833
8,"Rua Ipê Amarelo, 43 ",,4,2306860.0,4,186-310,jardim vitoria, Nova Lima ,-19.8483931,-43.8791189,2571.0,4746852.7,1846.3059898872036
9,"Avenida Waldyr Soeiro Emrich, 3429 ",,1-2,,2,48-98,milionarios, Belo Horizonte ,-19.9832414,-44.0069415,2671.0,4631468.91,1733.9831186821416
10,"Rua Quatro, 16251 ",,--,168480.0,2,46-50,maria goretti, Belo Horizonte ,-19.8641199,-43.9073247,1537.0,2692280.4,1751.6463240078074
11,"Rua Quatro, 98 ",,1,156690.0,2,39,maria goretti, Betim ,-19.8641199,-43.9073247,1537.0,2692280.4,1751.6463240078074
12,"Avenida Senador Levindo Coelho, 1267 ",,1-2,,2,44-84,independencia, Belo Horizonte ,-20.0116178,-44.0331311,964.0,1898355.02,1969.2479460580912
13,"Rua Princesa Isabel, 190 ",,1,146690.0,2,41-47,ipiranga, Santa Luzia ,-19.883784,-43.9351449,5038.0,11222387.56,2227.548146089718
14,"Rua Albert Sabin, 761 ",,1,,2,45,castelo, Divinópolis ,-19.8908865,-43.9930003,13473.0,31026875.5,2302.892859793661
15,Rua França ,,1,200000.0,2,75,jardim america, Belo Horizonte ,-19.9454281,-43.9709884,4050.0,7598564.77,1876.1888320987653
16,Rua dos Aeroviários ,320.0,2,420000.0,3,67,liberdade, Belo Horizonte ,-19.8586579,-43.9548531,2312.0,6109828.07,2642.6591998269896
17,"Rua dos Aeroviários, 184 ",400.0,2,460000.0,3,107,liberdade, Belo Horizonte ,-19.8586579,-43.9548531,2312.0,6109828.07,2642.6591998269896
18,Rua dos Aeroviários ,,2,850000.0,4,220,liberdade, Belo Horizonte ,-19.8586579,-43.9548531,2312.0,6109828.07,2642.6591998269896
19,Rua Pium,475.0,1,470000.0,1,54,sion, 1122 ,-19.9514868,-43.9301243,10854.0,42537367.09,3919.049851667589
20,Rua Pium,800.0,5,6500.0,4,547,sion,Belo Horizonte,-19.9514868,-43.9301243,10854.0,42537367.09,3919.049851667589
21,Rua Pium,1000.0,1,790000.0,4,172,sion,Belo Horizonte,-19.9514868,-43.9301243,10854.0,42537367.09,3919.049851667589
22,Rua Pium,2300.0,3,1800000.0,4,164,sion, 461 ,-19.9514868,-43.9301243,10854.0,42537367.09,3919.049851667589
23,Rua Pium,600.0,1,650000.0,3,100,sion, 1542 ,-19.9514868,-43.9301243,10854.0,42537367.09,3919.049851667589
