BAIRRO;QDE_LANCAMENTOS;VALOR_TOTAL_LANCADO
CENTRO;29.626;75.845.651,18
SAVASSI;22.528;89.081.359,94
BURITIS;21.550;58.650.996,06
LOURDES;19.450;88.296.159,71
SANTA EFIGENIA;15.456;45.617.715,80
SAGRADA FAMILIA;14.209;26.622.281,46
SANTO ANTONIO;14.103;40.280.796,07
CASTELO;13.473;31.026.875,50
SANTO AGOSTINHO;11.886;52.391.562,08
BARRO PRETO;11.639;32.354.133,72
SERRA;11.503;43.462.583,20
PADRE EUSTAQUIO;10.908;23.727.366,58
SION;10.854;42.537.367,09
FUNCIONARIOS;9.815;41.419.956,32
GUTIERREZ;9.564;32.808.054,06
OURO PRETO;9.166;19.087.017,21
SANTA AMELIA;9.089;14.456.153,50
PRADO;8.552;19.911.035,44
ESTORIL;7.804;25.231.393,22
SANTA MONICA;7.186;11.279.116,73
NOVA SUISSA;7.051;13.847.909,96
BELVEDERE;6.992;68.234.984,89
CIDADE NOVA;6.944;19.655.766,68
PLANALTO;6.925;17.624.799,13
ANCHIETA;6.804;27.372.497,44
FLORESTA;6.737;16.628.186,52
CAMARGOS;6.356;8.626.038,89
SAO JOAO BATISTA;6.256;10.075.970,74
CARLOS PRATES;6.065;16.368.695,76
SANTA TEREZA;6.018;11.594.201,47
SANTA LUCIA;5.968;30.739.383,31
CAICARAS;5.726;23.772.510,74
UNIAO;5.384;18.799.939,63
CRUZEIRO;5.288;18.126.878,70
SANTA CRUZ;5.279;11.539.739,21
CEU AZUL;5.238;9.159.954,83
HAVAI;5.055;7.561.593,10
IPIRANGA;5.038;11.222.387,56
ITAPOA;4.974;12.341.822,39
SALGADO FILHO;4.849;8.030.228,65
SAO PEDRO;4.680;19.274.525,48
DIAMANTE;4.612;7.485.899,34
LUXEMBURGO;4.430;19.009.728,42
BARREIRO;4.400;20.141.164,18
BOA VIAGEM;4.304;13.283.803,43
PAQUETA;4.173;9.039.457,76
LINDEIA;4.157;7.318.271,75
COLEGIO BATISTA;4.136;7.347.785,51
DONA CLARA;4.123;8.127.941,10
PIRATININGA;4.116;5.823.625,12
COPACABANA;4.065;5.532.715,68
JARDIM AMERICA;4.050;7.598.564,77
JAQUELINE;3.992;7.971.719,49
CAICARA ADELAIDE;3.799;7.770.409,10
MANTIQUEIRA;3.774;6.481.071,47
GLORIA;3.721;10.145.677,90
CORACAO DE JESUS;3.638;11.767.232,89
CORACAO EUCARISTICO;3.616;7.415.892,13
BOA VISTA;3.403;6.452.414,21
RIO BRANCO;3.388;5.343.718,83
GRAJAU;3.335;7.593.138,82
ARAGUAIA;3.264;5.612.694,17
PARAISO;3.259;5.894.197,11
NOVA GRANADA;3.248;6.571.290,63
ALIPIO DE MELO;3.179;7.257.154,64
TIROL;3.178;5.869.906,20
CARMO;3.174;12.947.820,56
SANTA TEREZINHA;3.170;5.810.791,93
SERRANO;3.153;5.755.507,34
CALAFATE;3.152;6.904.144,26
SANTA INES;3.094;6.937.378,01
PINDORAMA;3.061;5.250.067,04
PALMARES;3.008;8.305.266,12
SAO LUIZ;2.996;16.014.114,42
GOIANIA;2.993;5.778.840,65
JARDIM DOS COMERCIARIOS;2.951;4.731.337,73
BANDEIRANTES;2.885;14.487.012,95
SILVEIRA;2.873;6.811.028,60
JARDIM GUANABARA;2.854;4.621.490,44
SANTA ROSA;2.816;5.456.146,38
MANACAS;2.779;3.887.132,29
RENASCENCA;2.740;5.619.194,62
SAO GABRIEL;2.701;4.554.741,44
FERNAO DIAS;2.685;5.303.624,56
MILIONARIOS;2.671;4.631.468,91
ESPLANADA;2.637;5.295.235,13
JARDIM VITORIA;2.571;4.746.852,70
JOAO PINHEIRO;2.563;4.577.796,18
HELIOPOLIS;2.541;4.255.114,68
SANTA BRANCA;2.536;4.878.046,29
ALTO CAICARAS;2.476;6.078.153,46
CONCORDIA;2.474;5.026.959,22
CACHOEIRINHA;2.457;9.168.326,50
DOM BOSCO;2.439;5.256.236,47
CARDOSO;2.401;4.262.156,13
CINQUENTENARIO;2.384;4.016.281,46
FLORAMAR;2.340;5.026.878,13
LIBERDADE;2.312;6.109.828,07
RIBEIRO DE ABREU;2.286;4.119.520,11
SAO GERALDO;2.284;4.811.417,69
PAULO VI;2.259;2.578.699,42
GRACA;2.232;5.000.201,86
APARECIDA;2.164;4.310.489,10
ALTO BARROCA;2.146;4.339.816,75
BETANIA;2.092;4.564.779,40
ESTRELA DO ORIENTE;2.029;5.395.745,04
CANDELARIA;2.029;4.214.179,86
CALIFORNIA;2.019;4.870.082,41
MINASCAIXA;1.995;3.500.379,39
JARDIM LEBLON;1.958;2.777.473,23
